Año,Región,Código provincia,Provincia,Código Cantón,Cantón,  Valor Agregado , Impuestos a los producto , PIB , Exportaciones , Importaciones 
2019,Huetar Caribe,7,Limón,701,Limón,"466,223.85","23,367.08","489,590.93",123904.5013,"1,163,511.50"
2019,Huetar Caribe,7,Limón,702,Pococí,"702,425.33","50,324.87","752,750.20",439339.7271,"120,043.62"
2019,Huetar Caribe,7,Limón,703,Siquirres,"330,372.38","19,847.59","350,219.97",59942.94987,"70,138.41"
2019,Huetar Caribe,7,Limón,704,Talamanca,"133,983.22","8,389.44","142,372.65",2643.989796,327.78
2019,Huetar Caribe,7,Limón,705,Matina,"186,204.93","6,442.41","192,647.34",27512.83289,"6,034.14"
2019,Huetar Caribe,7,Limón,706,Guácimo,"155,082.35","5,181.53","160,263.88",58030.80003,"23,106.88"
2020,Central,1,San José,101,San José,"6,392,321.72","533,576.83","6,925,898.55",879817.9665,"3,131,747.12"
2020,Central,1,San José,102,Escazú,"1,249,190.27","83,857.01","1,333,047.28",17994.24578,"51,073.78"
2020,Central,1,San José,103,Desamparados,"787,227.71","73,711.51","860,939.22",35827.51276,"238,579.78"
2020,Central,1,San José,104,Puriscal,"105,685.44","12,163.60","117,849.04",735.2566888,"5,446.70"
2020,Central,1,San José,105,Tarrazú,"75,057.46","3,994.26","79,051.72",24350.29969,"1,798.70"
2020,Central,1,San José,106,Aserrí,"134,286.75","7,412.41","141,699.16",3574.263567,"6,743.21"
2020,Central,1,San José,107,Mora,"113,019.89","7,643.06","120,662.95",7894.866713,"6,270.67"
2020,Central,1,San José,108,Goicoechea,"1,012,758.74","165,974.30","1,178,733.05",1564.634106,"83,796.18"
2020,Central,1,San José,109,Santa Ana,"1,385,573.95","64,139.50","1,449,713.45",1974.565709,"28,703.72"
2020,Central,1,San José,110,Alajuelita,"202,612.01","15,146.86","217,758.87",977.8070511,"17,919.10"
2020,Central,1,San José,111,Vázquez de Coronado,"246,745.12","16,766.26","263,511.38",803.7270503,"20,966.08"
2020,Central,1,San José,112,Acosta,"57,896.32","4,239.40","62,135.72",13602.07929,"6,209.36"
2020,Central,1,San José,113,Tibás,"364,195.27","28,359.41","392,554.68",17064.3989,"31,561.56"
2020,Central,1,San José,114,Moravia,"279,707.44","26,315.04","306,022.47",17451.59209,"35,984.65"
2020,Central,1,San José,115,Montes de Oca,"952,917.91","31,130.03","984,047.94",6264.045416,"22,134.92"
2020,Central,1,San José,116,Turrubares,"19,145.08",588.62,"19,733.69",0,4.7
2020,Central,1,San José,117,Dota,"34,455.70","2,305.72","36,761.42",849.0780339,7.4
2020,Central,1,San José,118,Curridabat,"574,502.67","31,758.75","606,261.43",8880.558209,"48,847.14"
2020,Brunca,1,San José,119,Pérez Zeledón,"513,954.46","31,298.35","545,252.80",11882.51264,"7,826.68"
2020,Central,1,San José,120,León Cortés Castro,"68,551.16","3,510.13","72,061.29",0,145.23
2020,Central,2,Alajuela,201,Alajuela,"3,422,966.40","307,203.36","3,730,169.76",2590036.182,"1,735,586.35"
2020,Central,2,Alajuela,202,San Ramón,"383,523.05","23,114.93","406,637.98",19907.11123,"25,044.80"
2020,Central,2,Alajuela,203,Grecia,"373,785.71","51,144.07","424,929.78",98425.91036,"69,341.20"
2020,Pacífico Central,2,Alajuela,204,San Mateo,"22,231.03","1,098.14","23,329.17",102.8157037,248.54
2020,Central,2,Alajuela,205,Atenas,"119,861.57","7,060.84","126,922.41",1397.187987,"4,389.29"
2020,Central,2,Alajuela,206,Naranjo,"155,708.40","16,293.48","172,001.88",3478.151212,"17,983.55"
2020,Central,2,Alajuela,207,Palmares,"159,530.74","14,902.65","174,433.39",14292.67821,"33,906.58"
2020,Central,2,Alajuela,208,Poás,"131,233.36","8,433.60","139,666.96",3057.033273,"4,572.08"
2020,Pacífico Central,2,Alajuela,209,Orotina,"84,466.33","5,460.38","89,926.71",1082.663572,597.74
2020,Huetar Norte,2,Alajuela,210,San Carlos,"910,566.77","58,153.97","968,720.74",263637.461,"54,816.67"
2020,Central,2,Alajuela,211,Zarcero,"94,683.73","5,601.36","100,285.09",803.4088706,"1,273.63"
2020,Central,2,Alajuela,212,Sarchí,"83,356.73","5,000.47","88,357.20",11588.52182,"2,653.76"
2020,Huetar Norte,2,Alajuela,213,Upala,"161,091.87","5,038.91","166,130.78",20671.97846,196.66
2020,Huetar Norte,2,Alajuela,214,Los Chiles,"106,064.11","2,059.94","108,124.04",9507.546657,508.31
2020,Huetar Norte,2,Alajuela,215,Guatuso,"58,392.83","1,991.41","60,384.24",135.1194817,"1,611.63"
2020,Huetar Norte,2,Alajuela,216,Río Cuarto,"45,639.49","1,292.50","46,931.99",7557.848454,"9,514.11"
2020,Central,3,Cartago,301,Cartago,"1,187,050.24","162,123.83","1,349,174.06",644143.1246,"475,649.72"
2020,Central,3,Cartago,302,Paraíso,"257,023.40","23,581.87","280,605.27",31516.70861,"8,412.45"
2020,Central,3,Cartago,303,La Unión,"564,967.58","61,041.19","626,008.76",42786.49984,"56,805.44"
2020,Central,3,Cartago,304,Jiménez,"91,098.59","5,553.92","96,652.51",1262.288187,"1,044.04"
2020,Central,3,Cartago,305,Turrialba,"293,468.73","20,652.29","314,121.02",17051.8641,"5,275.45"
2020,Central,3,Cartago,306,Alvarado,"66,441.50","3,158.41","69,599.91",13.61576685,"1,202.73"
2020,Central,3,Cartago,307,Oreamuno,"125,320.71","7,554.20","132,874.91",8345.808573,"8,358.84"
2020,Central,3,Cartago,308,El Guarco,"206,556.81","10,705.56","217,262.36",33160.72646,"19,870.45"
2020,Central,4,Heredia,401,Heredia,"1,949,128.18","123,725.85","2,072,854.02",600099.3864,"534,555.34"
2020,Central,4,Heredia,402,Barva,"176,174.83","7,949.19","184,124.02",6813.871664,"13,238.79"
2020,Central,4,Heredia,403,Santo Domingo,"354,365.42","29,142.53","383,507.95",12905.66259,"42,354.80"
2020,Central,4,Heredia,404,Santa Bárbara,"120,255.34","6,361.00","126,616.35",3502.397325,"9,999.75"
2020,Central,4,Heredia,405,San Rafael,"169,838.80","8,365.60","178,204.40",372.1020099,"8,552.84"
2020,Central,4,Heredia,406,San Isidro,"112,021.90","3,620.02","115,641.92",469.6401803,"2,970.29"
2020,Central,4,Heredia,407,Belén,"1,006,307.14","61,065.75","1,067,372.88",4794.969315,"28,850.70"
2020,Central,4,Heredia,408,Flores,"197,077.04","15,847.40","212,924.44",2247.081803,"9,838.36"
2020,Central,4,Heredia,409,San Pablo,"149,538.10","10,058.89","159,596.99",32.81269821,"2,732.24"
2020,Huetar Norte,4,Heredia,410,Sarapiquí,"281,389.68","13,237.73","294,627.42",140910.025,"7,568.63"
2020,Chorotega,5,Guanacaste,501,Liberia,"644,171.62","45,366.01","689,537.63",7906.912562,"26,841.89"
2020,Chorotega,5,Guanacaste,502,Nicoya,"200,942.23","8,816.73","209,758.96",11497.13166,"3,114.96"
2020,Chorotega,5,Guanacaste,503,Santa Cruz,"291,724.46","14,031.23","305,755.69",608.3619831,"3,366.13"
